,index,name,uri,site,hash,min,max,currency
144,145,Security Researcher / Вирусный аналитик (ICS CERT),https://krasnogorsk.hh.ru/vacancy/37226611?query=ML,hh.ru,f912d99b25c239a6da72d31ce57608ce07af57bc,,,
145,146,С++ (Qt) разработчик,https://krasnogorsk.hh.ru/vacancy/37077354?query=ML,hh.ru,4315b592e1fec632483430e132692de3aafa49fc,,,
146,147,Менеджер по развитию бизнеса (Проекты в области машинного обучения),https://krasnogorsk.hh.ru/vacancy/37184225?query=ML,hh.ru,ce77b0003f2ebcf23bed5ab0a6111c755b76f558,,,
147,148,Начальник / Заместитель начальника Отдела разработки моделей кредитных рисков,https://krasnogorsk.hh.ru/vacancy/37217423?query=ML,hh.ru,2f7e1f702d9b94a3ef1f35dca128112b67edc63d,,,
148,149,Старший/ведущий/главный специалист (Data science specialist) Отдела разработки моделей кред. рисков,https://krasnogorsk.hh.ru/vacancy/37217313?query=ML,hh.ru,5c05b7a5fa32d1ba09befe9c7cbc23ede03e4e9a,,,
149,150,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",https://krasnogorsk.hh.ru/vacancy/37223050?query=ML,hh.ru,e04ee00c78d356a255fb32c6a5ad2e9f60b817d3,,,
150,151,Product analyst intern,https://krasnogorsk.hh.ru/vacancy/37210633?query=ML,hh.ru,20407ff5751cb796a9442550dfdb979bcd1f9dde,,,
151,152,Developer Python/Scala/Spark,https://krasnogorsk.hh.ru/vacancy/36693681?query=ML,hh.ru,e8f900ee79f35c71101072d4b5b311b94eb0f3ec,,,
152,153,Software Engineer (ML algorithm implementation),https://krasnogorsk.hh.ru/vacancy/37223172?query=ML,hh.ru,f17a2f4b2f79032c81082ab089b3241eb5c52080,,,
153,154,Android developer,https://krasnogorsk.hh.ru/vacancy/37216074?query=ML,hh.ru,b640f0ec74ec342582105209c3ce199957b13ba7,,,
154,155,Senior Data Scientist,https://krasnogorsk.hh.ru/vacancy/36912049?query=ML,hh.ru,5e91faa13f6baa4da390fc96cc3cb4cb7df36a29,,,
155,156,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",https://krasnogorsk.hh.ru/vacancy/37220166?query=ML,hh.ru,2fbe4a2a16559b0363a218f2e19d58a36bd8bc3b,,,
156,157,Senior ML Researcher (AI Lab),https://krasnogorsk.hh.ru/vacancy/35655353?query=ML,hh.ru,ef09d17904ca0da6cc59d9c2863d4374da96dfa7,,,
157,158,Data Scientist (NLP),https://krasnogorsk.hh.ru/vacancy/37183492?query=ML,hh.ru,53ff8ca2f7f3b2858ca117de41795cbe3d3c5d5c,,,
158,159,Frontend разработчик в ICQ,https://krasnogorsk.hh.ru/vacancy/37164480?query=ML,hh.ru,a81f87f126014603edee34a8bd549c09bf4c5ca9,,,
159,160,Junior Data Analyst / Scientist,https://krasnogorsk.hh.ru/vacancy/37190250?query=ML,hh.ru,cd97539ac0f5e77ab9fde909396234d57d483686,,,
160,161,Presale manager,https://krasnogorsk.hh.ru/vacancy/37184247?query=ML,hh.ru,9ce6116521f6450bf883dc0922ec73df39c85ab3,,,
161,162,Data Scientist,https://krasnogorsk.hh.ru/vacancy/36800183?query=ML,hh.ru,f6d3cd9845066205299bef933e10f31cd09bd647,,,
162,163,Senior Data Scientist,https://krasnogorsk.hh.ru/vacancy/37176449?query=ML,hh.ru,87575517a9879c82fd9267edfedfdd21a15e14f0,,,
163,164,Аналитик данных,https://krasnogorsk.hh.ru/vacancy/37173568?query=ML,hh.ru,6b75235c656faa487b4e6ce9897ab9ca4cb27b1c,,,
164,165,Старший Java разработчик,https://krasnogorsk.hh.ru/vacancy/32431339?query=ML,hh.ru,1db4e4a80b9d4d69f84bed74d7d57bf7c168ca89,,,
165,166,Senior Data Scientist (AutoML),https://krasnogorsk.hh.ru/vacancy/36486505?query=ML,hh.ru,c0fecf67641b4cb30ff7ab670e1233e29e83dd4d,,,
166,167,Big data developer/data engineer (middle/senior),https://krasnogorsk.hh.ru/vacancy/36426931?query=ML,hh.ru,c7d0122f551a489acd4912ba16d4a927f26bd0ae,,,
167,168,Ведущий разработчик-исследователь (AI),https://krasnogorsk.hh.ru/vacancy/35572492?query=ML,hh.ru,c768eb607d680f32b99e85d87a415dec99850325,,,
168,169,Senior Data Scientist ( блок УБ),https://krasnogorsk.hh.ru/vacancy/37176728?query=ML,hh.ru,503dc106de94ff620f50473e30d63dbf61009883,,,
169,170,Scala Big Data (Hadoop) Developer,https://krasnogorsk.hh.ru/vacancy/37083540?query=ML,hh.ru,b86c7f36d633a6bcfe2e1c3402ddf5d3e9ed7bad,,,
170,171,Старший разработчик-исследователь (AI),https://krasnogorsk.hh.ru/vacancy/35572590?query=ML,hh.ru,f68ef7302c4ac7fcf51331e9656de29fafbd9301,,,
171,172,Senior Data Scientist (Surge Pricing),https://krasnogorsk.hh.ru/vacancy/35409042?query=ML,hh.ru,43701644ee2caf9ccad206d9b64cb62c5ed841ef,,,
172,173,DevOps ML (HR-платформа),https://krasnogorsk.hh.ru/vacancy/37145612?query=ML,hh.ru,a7d4ee594de09db2350bba0f322e167efe113bc0,,,
173,174,Разработчик C#/С++,https://krasnogorsk.hh.ru/vacancy/37150157?query=ML,hh.ru,1f560cb684143123383847b1b1fda02814e75bb6,150000,,руб.
174,175,Интернет-маркетолог / Специалист по контекстной рекламе,https://krasnogorsk.hh.ru/vacancy/37139041?query=ML,hh.ru,846204f66f01fd085ce4a71c8dbe17abe51cc13b,100000,180000,руб.
175,176,Data Scientist в Марусю (Voice Recognition),https://krasnogorsk.hh.ru/vacancy/34785750?query=ML,hh.ru,70c46a317bcce0a8c76d81aee3083e4f2a9f028a,,,
176,177,Fullstack (Python/JS),https://krasnogorsk.hh.ru/vacancy/34856041?query=ML,hh.ru,d02b5234eae8aacfb3976b9da49fe91176e56876,,,
177,178,Senior Scala (Spark) developer,https://krasnogorsk.hh.ru/vacancy/37162992?query=ML,hh.ru,9e61877ea5d65927cb1eda428b5c916bbdc0d238,,,
178,179,Программист Python,https://krasnogorsk.hh.ru/vacancy/37138665?query=ML,hh.ru,8dca49831a757d166e9a4553bfe8a2e8bae8b634,,,
179,180,Back-end разработчик,https://krasnogorsk.hh.ru/vacancy/37144413?query=ML,hh.ru,76dc87be481eb0fad5386c0123ceeca391bc46b3,,,
180,181,Архитектор (MTS AI),https://krasnogorsk.hh.ru/vacancy/36808038?query=ML,hh.ru,5fa0174bf31175b0b5b04fdb786d293aca488254,,,
181,182,AI/Big Data Technical Development Expert,https://krasnogorsk.hh.ru/vacancy/37145369?query=ML,hh.ru,d7a5cb6abf9e1f21b233af7442ac95c021cbce3f,,,
182,183,Data Scientist (Middle/Senior) - моделирование кредитных рисков корпоративных клиентов (Блок Риски),https://krasnogorsk.hh.ru/vacancy/33462158?query=ML,hh.ru,c82b199b463163edee66e20116dab79ea3b52c3a,,,
183,184,Data engineer (Клиентская аналитика),https://krasnogorsk.hh.ru/vacancy/37138728?query=ML,hh.ru,5d7e58744c28efdf8bf1bf57f203be6da53f18db,,,
184,185,Java разработчик (команда SafeData),https://krasnogorsk.hh.ru/vacancy/36519305?query=ML,hh.ru,79777ea597ba05e6f424a0ac89696ce56b24f57d,,,
185,186,Разработчик Android (middle / senior),https://krasnogorsk.hh.ru/vacancy/37145087?query=ML,hh.ru,9472850649b48520c0e066b83e5ff5cdae5751bf,180000,250000,руб.
186,187,ML-engineer (Middle/ Senior),https://krasnogorsk.hh.ru/vacancy/37129026?query=ML,hh.ru,8bdc8d1b213e067cd9265f44f8d5ca68c321807c,,,
187,188,ML Разработчик / Data scientist (Центр искусственного интеллекта),https://krasnogorsk.hh.ru/vacancy/36757081?query=ML,hh.ru,4a2f28adca767c900787525a84b40dbb64ab3b4d,,,
188,189,Senior DWH Developer,https://krasnogorsk.hh.ru/vacancy/37279653?query=ML,hh.ru,36cc9c64251baf1052dd6869369f8e1bfae8a570,,,
189,190,Ведущий Python разработчик в Марусю (ML),https://krasnogorsk.hh.ru/vacancy/35690006?query=ML,hh.ru,8eeea1e242d1f6e6620cb64303aae6733866ec0b,,,
190,191,Специалист: Image/video processing & Machine Learning based projects,https://krasnogorsk.hh.ru/vacancy/30255734?query=ML,hh.ru,84d62e06039d6dfc2ab34c186964ff83cadd5de0,200000,,руб.
191,192,IOS разработчик (MTS AI),https://krasnogorsk.hh.ru/vacancy/37122542?query=ML,hh.ru,d73bb45dd806ab4a54e7c6c76b2ee40f12a05283,,,
192,193,Data analysis expert,https://krasnogorsk.hh.ru/vacancy/37123244?query=ML,hh.ru,facf76a63d7df378672530faa4a6997c965654ac,6000,9000,USD
193,194,Менеджер (отдел киберрисков),https://krasnogorsk.hh.ru/vacancy/37116435?query=ML,hh.ru,c05ac492fb2d9297e2ddb7923328ff87318cc96e,,,
194,195,Разработчик в области искусственного интеллекта,https://krasnogorsk.hh.ru/vacancy/37122713?query=ML,hh.ru,5274e77a73e22acf77cef6a1041a315dcffc5817,,,
195,196,Senior testing engineer (Mobile),https://krasnogorsk.hh.ru/vacancy/37005365?query=ML,hh.ru,3bbd565018dbe2cf8d0575494619eeded2994be4,,,
196,197,Ведущий разработчик С,https://krasnogorsk.hh.ru/vacancy/37124219?query=ML,hh.ru,5d32dc47e6dd2d59b8c1ad022bfff04fdd8abb1b,,,
197,198,Ведущий Python разработчик (ML) в Delivery club,https://krasnogorsk.hh.ru/vacancy/36712852?query=ML,hh.ru,918feabaf24f03436bc7ab1cf29b667a73c0e1e0,,,
198,199,Senior Data Scientist в NLP лабораторию,https://krasnogorsk.hh.ru/vacancy/34880886?query=ML,hh.ru,fed92cc4a8da3b711681538e9fb045c2ca78693e,,,
199,200,Data Scientist,https://krasnogorsk.hh.ru/vacancy/37098290?query=ML,hh.ru,46fb13af10541dec488dbc2843261b713d3d442b,,,
200,201,Разработчик инфраструктуры качества сервисов Портала,https://krasnogorsk.hh.ru/vacancy/36719212?query=ML,hh.ru,7c3f491cc265fb8f1ffdf46ed88e6dba952f44dd,,,
201,202,ML senior Specialist,https://krasnogorsk.hh.ru/vacancy/37084590?query=ML,hh.ru,101d45664072a2e7fa4d38e01d404315eae24814,,,
202,203,Старший Go разработчик в ICQ,https://krasnogorsk.hh.ru/vacancy/36725004?query=ML,hh.ru,06896070b36da6b92e94f3efd0fb998c52b46444,,,
203,204,C++ разработчик,https://krasnogorsk.hh.ru/vacancy/37086155?query=ML,hh.ru,339ada0e282b9d1ed28b4e795546f4c825ad5840,170000,210000,руб.
204,205,ML- инженер (HR-платформа),https://krasnogorsk.hh.ru/vacancy/36934296?query=ML,hh.ru,1f867a657b5396568508ebf67e2a5e1d36d25a7b,,,
